global_step,critic/score/mean,val-core/avqa_r1_6k/reward/mean@1
0,,0.728414442700157
1,0.7412109375,
2,0.771484375,
3,0.77099609375,
4,0.75634765625,
5,0.7216796875,
6,0.7861328125,
7,0.79833984375,
8,0.783203125,
9,0.77197265625,
10,0.80224609375,0.8048142333856619
11,0.7890625,
12,0.7626953125,
13,0.79736328125,
14,0.7978515625,
15,0.81103515625,
16,0.806640625,
17,0.7802734375,
18,0.84130859375,
19,0.7666015625,
20,0.7783203125,0.815803244374673
21,0.8115234375,
22,0.82861328125,
23,0.80029296875,
24,0.73876953125,
25,0.78662109375,
26,0.82080078125,
27,0.78759765625,
28,0.76708984375,
29,0.80224609375,
30,0.8046875,0.8126635269492413
31,0.80517578125,
32,0.7939453125,
33,0.79248046875,
34,0.8271484375,
35,0.82275390625,
36,0.82470703125,
37,0.7900390625,
38,0.75341796875,
39,0.8203125,
40,0.8251953125,0.8142333856619571
41,0.8046875,
42,0.83251953125,
43,0.828125,
44,0.85546875,
45,0.802734375,
46,0.79443359375,
47,0.8095703125,
48,0.810546875,
49,0.77392578125,
50,0.87158203125,0.8241758241758241
